systemOperation;ID;invariantType;invariantCategory;systemOperation-InvariantType;systemOperation-InvariantCategory;classification;GPT_verdict;result;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations;GPT_Model
Marvel_getComicById;10;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;817;459;1276;100;GPT-4o-mini
Marvel_getComicById;11;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.9;826;412;1238;10000;GPT-4o-mini
Marvel_getComicById;12;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;799;412;1211;50;GPT-4o-mini
Marvel_getComicById;13;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.95;1010;418;1428;10000;GPT-4o-mini
Marvel_getComicById;14;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;TP;TP;TP;0.95;783;339;1122;10000;GPT-4o-mini
Marvel_getComicById;15;daikon.inv.unary.scalar.LowerBoundFloat;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBoundFloat;Marvel_getComicById-Specific values;FP;TP;FP;0.95;773;339;1112;500;GPT-4o-mini
Marvel_getComicById;16;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;0.9;812;373;1185;50;GPT-4o-mini
Marvel_getComicById;17;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.95;766;359;1125;10000;GPT-4o-mini
Marvel_getComicById;18;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;776;356;1132;10000;GPT-4o-mini
Marvel_getComicById;19;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.95;739;373;1112;10000;GPT-4o-mini
Marvel_getComicById;20;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;749;333;1082;10000;GPT-4o-mini
Marvel_getComicById;21;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.8;683;363;1046;10000;GPT-4o-mini
Marvel_getComicById;22;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;749;407;1156;10000;GPT-4o-mini
Marvel_getComicById;23;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;759;312;1071;10000;GPT-4o-mini
Marvel_getComicById;24;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;747;466;1213;10000;GPT-4o-mini
Marvel_getComicById;25;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.9;757;410;1167;10000;GPT-4o-mini
Marvel_getComicById;26;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.95;755;349;1104;10000;GPT-4o-mini
Marvel_getComicById;27;daikon.inv.unary.sequence.OneOfSequence;Specific values;Marvel_getComicById-daikon.inv.unary.sequence.OneOfSequence;Marvel_getComicById-Specific values;FP;FP;TN;0.8;779;421;1200;100;GPT-4o-mini
Marvel_getComicById;28;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;739;428;1167;10000;GPT-4o-mini
Marvel_getComicById;29;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;749;360;1109;10000;GPT-4o-mini
Marvel_getComicById;30;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.85;741;430;1171;10000;GPT-4o-mini
Marvel_getComicById;31;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;751;385;1136;10000;GPT-4o-mini
Marvel_getComicById;32;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;683;382;1065;10000;GPT-4o-mini
Marvel_getComicById;33;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;0.9;768;445;1213;1000;GPT-4o-mini
Marvel_getComicById;34;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;734;425;1159;10000;GPT-4o-mini
Marvel_getComicById;35;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;744;440;1184;10000;GPT-4o-mini
Marvel_getComicById;36;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;684;381;1065;10000;GPT-4o-mini
Marvel_getComicById;37;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;TP;TP;TP;0.95;794;313;1107;10000;GPT-4o-mini
Marvel_getComicById;38;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.95;763;466;1229;10000;GPT-4o-mini
Marvel_getComicById;39;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;0.7;773;455;1228;10000;GPT-4o-mini
Marvel_getComicById;40;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.9;683;359;1042;10000;GPT-4o-mini
Marvel_getComicById;41;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;FP;FP;TN;0.75;788;424;1212;10000;GPT-4o-mini
Marvel_getComicById;42;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.7;762;422;1184;10000;GPT-4o-mini
Marvel_getComicById;43;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;0.85;772;402;1174;10000;GPT-4o-mini
Marvel_getComicById;44;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.9;684;425;1109;10000;GPT-4o-mini
Marvel_getComicById;45;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;FP;FP;TN;0.7;792;435;1227;500;GPT-4o-mini
Marvel_getComicById;46;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.9;764;377;1141;10000;GPT-4o-mini
Marvel_getComicById;47;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;TP;TP;0.95;774;373;1147;10000;GPT-4o-mini
Marvel_getComicById;48;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;683;453;1136;10000;GPT-4o-mini
Marvel_getComicById;49;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;0.85;745;387;1132;10000;GPT-4o-mini
Marvel_getComicById;50;daikon.inv.unary.sequence.OneOfSequence;Specific values;Marvel_getComicById-daikon.inv.unary.sequence.OneOfSequence;Marvel_getComicById-Specific values;FP;FP;TN;0.85;769;474;1243;50;GPT-4o-mini
Marvel_getComicById;51;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;FP;FP;TN;0.85;1022;425;1447;500;GPT-4o-mini
Marvel_getComicById;52;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;FP;FP;TN;0.7;1070;472;1542;100;GPT-4o-mini
Marvel_getComicById;53;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;FP;TP;FP;0.95;1159;415;1574;10000;GPT-4o-mini
Marvel_getComicById;54;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;TP;TP;TP;0.95;942;425;1367;10000;GPT-4o-mini
Marvel_getComicById;55;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;858;558;1416;10000;GPT-4o-mini
Marvel_getComicById;56;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;839;506;1345;10000;GPT-4o-mini
Marvel_getComicById;57;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.7;869;509;1378;10000;GPT-4o-mini
Marvel_getComicById;58;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;866;533;1399;10000;GPT-4o-mini
Marvel_getComicById;59;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;864;413;1277;10000;GPT-4o-mini
Marvel_getComicById;60;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;870;538;1408;10000;GPT-4o-mini
Marvel_getComicById;61;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;864;441;1305;10000;GPT-4o-mini
Marvel_getComicById;62;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.9;1065;475;1540;10000;GPT-4o-mini
Marvel_getComicById;63;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1077;526;1603;10000;GPT-4o-mini
Marvel_getComicById;64;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1078;413;1491;10000;GPT-4o-mini
Marvel_getComicById;65;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1074;558;1632;10000;GPT-4o-mini
Marvel_getComicById;66;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1125;536;1661;10000;GPT-4o-mini
Marvel_getComicById;67;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;958;550;1508;10000;GPT-4o-mini
Marvel_getComicById;68;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1064;594;1658;10000;GPT-4o-mini
Marvel_getComicById;69;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.85;871;467;1338;10000;GPT-4o-mini
Marvel_getComicById;70;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;877;447;1324;10000;GPT-4o-mini
Marvel_getComicById;71;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.95;868;557;1425;500;GPT-4o-mini
Marvel_getComicById;72;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.85;1058;577;1635;100;GPT-4o-mini
Marvel_getComicById;73;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1080;516;1596;10000;GPT-4o-mini
Marvel_getComicById;74;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1075;538;1613;50;GPT-4o-mini
Marvel_getComicById;75;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1079;522;1601;500;GPT-4o-mini
Marvel_getComicById;76;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.75;1127;572;1699;10000;GPT-4o-mini
Marvel_getComicById;77;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1129;599;1728;10000;GPT-4o-mini
Marvel_getComicById;78;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.9;995;484;1479;10000;GPT-4o-mini
Marvel_getComicById;79;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.95;997;461;1458;10000;GPT-4o-mini
Marvel_getComicById;80;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.7;1077;569;1646;100;GPT-4o-mini
Marvel_getComicById;81;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;928;430;1358;100;GPT-4o-mini
Marvel_getComicById;82;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;882;502;1384;1000;GPT-4o-mini
Marvel_getComicById;83;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.7;849;453;1302;50;GPT-4o-mini
Marvel_getComicById;84;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.95;857;387;1244;10000;GPT-4o-mini
Marvel_getComicById;85;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.75;849;494;1343;100;GPT-4o-mini
Marvel_getComicById;86;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1059;460;1519;500;GPT-4o-mini
Marvel_getComicById;87;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.8;1058;408;1466;100;GPT-4o-mini
Marvel_getComicById;88;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1109;527;1636;500;GPT-4o-mini
Marvel_getComicById;89;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.9;1111;492;1603;500;GPT-4o-mini
Marvel_getComicById;90;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;947;506;1453;50;GPT-4o-mini
Marvel_getComicById;91;daikon.inv.binary.twoScalar.NumericInt$Divides;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.NumericInt$Divides;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.9;960;444;1404;1000;GPT-4o-mini
Marvel_getComicById;92;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;805;515;1320;50;GPT-4o-mini
Marvel_getComicById;93;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.95;873;333;1206;10000;GPT-4o-mini
Marvel_getComicById;94;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.75;880;427;1307;500;GPT-4o-mini
Marvel_getComicById;95;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.9;1026;455;1481;100;GPT-4o-mini
Marvel_getComicById;96;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.75;1085;540;1625;100;GPT-4o-mini
Marvel_getComicById;97;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.7;1067;470;1537;1000;GPT-4o-mini
Marvel_getComicById;98;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.85;992;492;1484;100;GPT-4o-mini
Marvel_getComicById;99;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;876;538;1414;500;GPT-4o-mini
Marvel_getComicById;100;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1021;471;1492;100;GPT-4o-mini
Marvel_getComicById;101;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.7;1081;477;1558;100;GPT-4o-mini
Marvel_getComicById;102;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.7;1066;506;1572;1000;GPT-4o-mini
Marvel_getComicById;103;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.75;1010;538;1548;100;GPT-4o-mini
Marvel_getComicById;104;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1068;548;1616;10000;GPT-4o-mini
Marvel_getComicById;105;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;0.85;1061;495;1556;1000;GPT-4o-mini
