systemOperation;ID;invariantType;classification;GPT_verdict;result;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations;GPT_Model
Marvel_getComicById;57;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;880;240;1120;10000;GPT-3.5
Marvel_getComicById;58;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;876;252;1128;10000;GPT-3.5
Marvel_getComicById;59;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;867;244;1111;10000;GPT-3.5
Marvel_getComicById;60;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;874;224;1098;10000;GPT-3.5
Marvel_getComicById;61;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.9;868;258;1126;10000;GPT-3.5
Marvel_getComicById;62;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;1070;219;1289;10000;GPT-3.5
Marvel_getComicById;63;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;1092;205;1297;10000;GPT-3.5
Marvel_getComicById;64;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;1073;225;1298;10000;GPT-3.5
Marvel_getComicById;65;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;1060;254;1314;10000;GPT-3.5
Marvel_getComicById;66;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;1129;233;1362;10000;GPT-3.5
Marvel_getComicById;67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;978;227;1205;10000;GPT-3.5
Marvel_getComicById;68;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;1072;224;1296;10000;GPT-3.5
Marvel_getComicById;69;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;876;287;1163;10000;GPT-3.5
Marvel_getComicById;70;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.95;882;266;1148;10000;GPT-3.5
Marvel_getComicById;71;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;873;287;1160;500;GPT-3.5
Marvel_getComicById;72;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1061;268;1329;100;GPT-3.5
Marvel_getComicById;73;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;1083;239;1322;10000;GPT-3.5
Marvel_getComicById;74;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1078;186;1264;50;GPT-3.5
Marvel_getComicById;75;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;1075;238;1313;500;GPT-3.5
Marvel_getComicById;76;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;1131;250;1381;10000;GPT-3.5
Marvel_getComicById;77;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;1133;292;1425;10000;GPT-3.5
Marvel_getComicById;78;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.95;998;215;1213;10000;GPT-3.5
Marvel_getComicById;79;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1000;270;1270;10000;GPT-3.5
Marvel_getComicById;80;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1077;268;1345;100;GPT-3.5
Marvel_getComicById;81;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;935;234;1169;100;GPT-3.5
Marvel_getComicById;82;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;887;273;1160;1000;GPT-3.5
Marvel_getComicById;83;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;853;228;1081;50;GPT-3.5
Marvel_getComicById;84;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;861;268;1129;10000;GPT-3.5
Marvel_getComicById;85;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;853;275;1128;100;GPT-3.5
Marvel_getComicById;86;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;1061;289;1350;500;GPT-3.5
Marvel_getComicById;87;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1060;251;1311;100;GPT-3.5
Marvel_getComicById;88;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;1113;242;1355;500;GPT-3.5
Marvel_getComicById;89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;1115;227;1342;500;GPT-3.5
Marvel_getComicById;90;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;951;250;1201;50;GPT-3.5
Marvel_getComicById;91;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;FP;0.9;963;231;1194;1000;GPT-3.5
Marvel_getComicById;92;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;809;285;1094;50;GPT-3.5
Marvel_getComicById;93;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;TP;0.95;890;260;1150;10000;GPT-3.5
Marvel_getComicById;94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;891;225;1116;500;GPT-3.5
Marvel_getComicById;95;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1033;296;1329;100;GPT-3.5
Marvel_getComicById;96;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1093;223;1316;100;GPT-3.5
Marvel_getComicById;97;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1073;237;1310;1000;GPT-3.5
Marvel_getComicById;98;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1013;262;1275;100;GPT-3.5
Marvel_getComicById;99;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;887;236;1123;500;GPT-3.5
Marvel_getComicById;100;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1028;233;1261;100;GPT-3.5
Marvel_getComicById;101;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1089;282;1371;100;GPT-3.5
Marvel_getComicById;102;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1079;287;1366;1000;GPT-3.5
Marvel_getComicById;103;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1011;307;1318;100;GPT-3.5
Marvel_getComicById;104;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1064;205;1269;10000;GPT-3.5
Marvel_getComicById;105;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;1056;264;1320;1000;GPT-3.5
Marvel_getComicById;106;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;957;264;1221;10000;GPT-3.5
Marvel_getComicById;107;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1062;259;1321;500;GPT-3.5
Marvel_getComicById;108;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;1035;236;1271;50;GPT-3.5
Marvel_getComicById;109;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;1072;244;1316;10000;GPT-3.5
Marvel_getComicById;110;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;967;284;1251;500;GPT-3.5
Marvel_getComicById;111;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;977;206;1183;50;GPT-3.5
Marvel_getComicById;112;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.6;1091;336;1427;500;GPT-3.5
Marvel_getComicById;113;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.9;1028;288;1316;50;GPT-3.5
Marvel_getComicById;114;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;869;183;1052;50;GPT-3.5
Marvel_getComicById;115;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;TN;0.9;1142;276;1418;500;GPT-3.5
Marvel_getComicById;116;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;977;237;1214;50;GPT-3.5
Marvel_getComicById;117;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.6;1074;223;1297;1000;GPT-3.5
Marvel_getComicById;118;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;1056;238;1294;50;GPT-3.5
Marvel_getComicById;119;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;TN;0.8;835;289;1124;50;GPT-3.5
Marvel_getComicById;120;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;855;230;1085;100;GPT-3.5
Marvel_getComicById;121;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;857;221;1078;100;GPT-3.5
Marvel_getComicById;122;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;972;209;1181;100;GPT-3.5
Marvel_getComicById;123;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;882;281;1163;50;GPT-3.5
Marvel_getComicById;124;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.95;859;252;1111;100;GPT-3.5
Marvel_getComicById;125;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;856;300;1156;100;GPT-3.5
Marvel_getComicById;126;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.7;976;322;1298;100;GPT-3.5
Marvel_getComicById;127;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.3;854;274;1128;1000;GPT-3.5
Marvel_getComicById;128;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;884;269;1153;500;GPT-3.5
Marvel_getComicById;129;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;839;237;1076;50;GPT-3.5
Marvel_getComicById;130;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;836;220;1056;1000;GPT-3.5
Marvel_getComicById;131;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;830;255;1085;10000;GPT-3.5
Marvel_getComicById;132;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;829;223;1052;100;GPT-3.5
Marvel_getComicById;133;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;FP;0.9;841;283;1124;1000;GPT-3.5
Marvel_getComicById;134;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;832;227;1059;10000;GPT-3.5
Marvel_getComicById;135;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;824;257;1081;50;GPT-3.5
Marvel_getComicById;136;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;840;263;1103;1000;GPT-3.5
Marvel_getComicById;137;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.95;834;253;1087;10000;GPT-3.5
Marvel_getComicById;138;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;836;256;1092;10000;GPT-3.5
Marvel_getComicById;139;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;837;254;1091;50;GPT-3.5
Marvel_getComicById;140;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;FP;0.9;874;212;1086;50;GPT-3.5
Marvel_getComicById;141;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;838;248;1086;100;GPT-3.5
Marvel_getComicById;142;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;839;261;1100;100;GPT-3.5
Marvel_getComicById;143;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.6;841;251;1092;50;GPT-3.5
Marvel_getComicById;144;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;838;249;1087;10000;GPT-3.5
Marvel_getComicById;145;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;837;281;1118;100;GPT-3.5
Marvel_getComicById;146;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;TN;0.9;836;256;1092;100;GPT-3.5
Marvel_getComicById;147;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.8;842;287;1129;10000;GPT-3.5
Marvel_getComicById;148;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;839;237;1076;100;GPT-3.5
Marvel_getComicById;149;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.6;832;229;1061;100;GPT-3.5
Marvel_getComicById;150;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;863;237;1100;1000;GPT-3.5
Marvel_getComicById;151;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;867;242;1109;10000;GPT-3.5
Marvel_getComicById;152;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;823;215;1038;100;GPT-3.5
Marvel_getComicById;153;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.9;853;260;1113;100;GPT-3.5
Marvel_getComicById;154;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;FP;0.95;1220;279;1499;1000;GPT-3.5
Marvel_getComicById;155;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;824;254;1078;50;GPT-3.5
Marvel_getComicById;156;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;1213;235;1448;10000;GPT-3.5
Marvel_getComicById;157;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;FP;0.95;1152;274;1426;1000;GPT-3.5
Marvel_getComicById;158;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.8;858;306;1164;500;GPT-3.5
Marvel_getComicById;159;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;1194;297;1491;10000;GPT-3.5
Marvel_getComicById;160;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.8;724;251;975;10000;GPT-3.5
Marvel_getComicById;161;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.95;1191;221;1412;10000;GPT-3.5
Marvel_getComicById;162;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;1227;297;1524;10000;GPT-3.5
Marvel_getComicById;163;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.8;1225;336;1561;10000;GPT-3.5
Marvel_getComicById;164;daikon.inv.unary.scalar.OneOfScalar;TP;TP;TP;0.9;709;187;896;10000;GPT-3.5
Marvel_getComicById;165;daikon.inv.unary.string.OneOfString;TP;FP;FN;0.8;708;220;928;10000;GPT-3.5
Marvel_getComicById;166;daikon.inv.unary.string.OneOfString;TP;FP;FN;0.7;722;270;992;10000;GPT-3.5
Marvel_getComicById;167;daikon.inv.unary.string.OneOfString;TP;FP;FN;0.7;760;227;987;10000;GPT-3.5
Marvel_getComicById;168;daikon.inv.unary.string.OneOfString;TP;TP;TP;0.9;789;190;979;10000;GPT-3.5
Marvel_getComicById;169;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;638;174;812;10000;GPT-3.5
Marvel_getComicById;170;daikon.inv.unary.scalar.OneOfScalar;TP;TP;TP;0.9;718;257;975;10000;GPT-3.5
Marvel_getComicById;171;daikon.inv.unary.scalar.OneOfScalar;TP;FP;FN;0.9;725;210;935;10000;GPT-3.5
Marvel_getComicById;172;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;1148;243;1391;10000;GPT-3.5
Marvel_getComicById;173;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.95;1158;185;1343;10000;GPT-3.5
Marvel_getComicById;174;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.9;773;166;939;100;GPT-3.5
Marvel_getComicById;175;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.9;788;203;991;1000;GPT-3.5
Marvel_getComicById;176;daikon.inv.binary.twoScalar.IntGreaterThan;TP;TP;TP;0.95;796;187;983;10000;GPT-3.5
Marvel_getComicById;177;daikon.inv.binary.sequenceScalar.SeqIntEqual;TP;FP;FN;0.9;1216;259;1475;10000;GPT-3.5
Marvel_getComicById;178;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;883;223;1106;10000;GPT-3.5
Marvel_getComicById;179;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;878;228;1106;10000;GPT-3.5
Marvel_getComicById;180;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;868;290;1158;10000;GPT-3.5
Marvel_getComicById;181;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;889;245;1134;10000;GPT-3.5
Marvel_getComicById;182;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;927;241;1168;10000;GPT-3.5
Marvel_getComicById;183;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;922;224;1146;10000;GPT-3.5
Marvel_getComicById;184;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;769;217;986;10000;GPT-3.5
Marvel_getComicById;185;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;879;235;1114;10000;GPT-3.5
Marvel_getComicById;186;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;773;221;994;10000;GPT-3.5
Marvel_getComicById;187;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;918;238;1156;10000;GPT-3.5
Marvel_getComicById;188;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;876;257;1133;10000;GPT-3.5
Marvel_getComicById;189;daikon.inv.unary.string.FixedLengthString;FP;TP;FP;0.9;809;220;1029;100;GPT-3.5
Marvel_getComicById;190;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;788;223;1011;1000;GPT-3.5
Marvel_getComicById;191;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;811;254;1065;1000;GPT-3.5
Marvel_getComicById;192;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;827;266;1093;10000;GPT-3.5
Marvel_getComicById;193;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;844;240;1084;10000;GPT-3.5
Marvel_getComicById;194;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;904;170;1074;10000;GPT-3.5
Marvel_getComicById;195;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;756;238;994;10000;GPT-3.5
Marvel_getComicById;196;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;875;185;1060;10000;GPT-3.5
Marvel_getComicById;197;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;857;308;1165;10000;GPT-3.5
Marvel_getComicById;198;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;864;262;1126;10000;GPT-3.5
Marvel_getComicById;199;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;853;227;1080;10000;GPT-3.5
Marvel_getComicById;200;daikon.inv.binary.twoString.StdString$SubString;FP;FP;TN;0.9;890;250;1140;1000;GPT-3.5
Marvel_getComicById;201;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;1005;306;1311;10000;GPT-3.5
Marvel_getComicById;202;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;1.0;988;266;1254;10000;GPT-3.5
Marvel_getComicById;203;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;994;298;1292;10000;GPT-3.5
Marvel_getComicById;204;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;983;287;1270;10000;GPT-3.5
Marvel_getComicById;205;daikon.inv.binary.twoSequence.SuperSet;FP;TP;FP;0.9;877;309;1186;50;GPT-3.5
Marvel_getComicById;206;daikon.inv.binary.twoSequence.SuperSet;FP;FP;TN;0.9;875;207;1082;50;GPT-3.5
Marvel_getComicById;207;daikon.inv.binary.twoSequence.SuperSet;FP;FP;TN;0.9;877;241;1118;50;GPT-3.5
Marvel_getComicById;208;daikon.inv.unary.string.FixedLengthString;TP;FP;FN;0.8;683;260;943;10000;GPT-3.5
Marvel_getComicById;209;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;691;187;878;10000;GPT-3.5
Marvel_getComicById;210;daikon.inv.unary.string.FixedLengthString;TP;FP;FN;0.8;724;229;953;10000;GPT-3.5
Marvel_getComicById;211;daikon.inv.unary.string.FixedLengthString;TP;FP;FN;0.9;739;174;913;10000;GPT-3.5
